album_id,album_name,track_count
1,ABYSSAL RAIDER,6
2,AERO DREAMS,6
3,ATOMIC LOUNGE,6
4,BRASS KNUCKLES,6
31,THE POOLROOMS,6
5,CATHEDRAL OF BASS,6
6,EXECUTIVE FUNCTION,6
7,FAVELA 2077,6
8,GILDED CAGE,6
9,JERSEY OVERDRIVE,6
10,JUSTICE FORCE,6
11,KINGS OF NILE,6
12,LOG DRUM CARTEL,6
13,MAHARAJA TRAP,6
14,MAIN FRAME MELTDOWN,6
15,MAIN STAGE TITAN,6
16,MAINFRAME EUPHORIA,6
17,MANIC CIRCUS,6
18,NEO-PERREO,6
19,NEON REDLINE,6
27,SILENT PROTOCOL,6
20,NEON RODEO,6
21,NEON VENDETTA,6
22,PHANTOM ARIA,6
23,PRIMAL INSTINCT,6
24,SERVER DECAY,6
25,SHADOW RONIN,6
26,SHADOW WIZARD,6
28,SILICONE SOUL,6
29,SKULL & BASS,6
30,SUGAR SKULL,6
32,TRI-POLOSKI,6
33,VALHALLA RISES,6
34,VELOCITY VAMPIRES,6
35,VELVET CIRCUIT,6
36,VELVET PROTOCOL,6
37,VHS NIGHTMARE,6
38,VOID WALKER,6
